Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
35.88 °N,78.79 °W,Morrisville,NC,January,2011,69,37.49,17,0.00,4.71
35.88 °N,78.79 °W,Morrisville,NC,February,2011,81,47.81,0,0.00,7.12
35.88 °N,78.79 °W,Morrisville,NC,March,2011,84,51.61,28,0.00,6.96
35.88 °N,78.79 °W,Morrisville,NC,April,2011,87,63.69,33,0.00,8.82
35.88 °N,78.79 °W,Morrisville,NC,May,2011,94,69.43,42,0.00,5.05
35.88 °N,78.79 °W,Morrisville,NC,June,2011,98,79.55,57,0.00,5.89
35.88 °N,78.79 °W,Morrisville,NC,July,2011,103,82.59,62,0.00,5.65
35.88 °N,78.79 °W,Morrisville,NC,August,2011,98,79.17,62,0.00,5.45
35.88 °N,78.79 °W,Morrisville,NC,September,2011,89,72.78,55,0.00,4.56
35.88 °N,78.79 °W,Morrisville,NC,October,2011,84,58.64,32,0.00,5.63
35.88 °N,78.79 °W,Morrisville,NC,November,2011,78,54.05,27,0.00,5.97
35.88 °N,78.79 °W,Morrisville,NC,December,2011,71,48.64,27,0.00,5.27
35.88 °N,78.79 °W,Morrisville,NC,January,2012,71,45.74,19,0.00,6.66
35.88 °N,78.79 °W,Morrisville,NC,February,2012,76,47.17,21,0.00,5.78
35.88 °N,78.79 °W,Morrisville,NC,March,2012,83,60.45,27,0.00,5.89
35.88 °N,78.79 °W,Morrisville,NC,April,2012,85,60.23,33,0.00,6.3
35.88 °N,78.79 °W,Morrisville,NC,May,2012,91,71.03,48,0.00,5.34
35.88 °N,78.79 °W,Morrisville,NC,June,2012,105,74.58,53,0.00,5.45
35.88 °N,78.79 °W,Morrisville,NC,July,2012,105,81.81,68,0.00,5.43
35.88 °N,78.79 °W,Morrisville,NC,August,2012,93,76.82,63,0.00,4.7
35.88 °N,78.79 °W,Morrisville,NC,September,2012,91,70.19,50,0.00,4.23
35.88 °N,78.79 °W,Morrisville,NC,October,2012,87,60.3,38,0.00,5.07
35.88 °N,78.79 °W,Morrisville,NC,November,2012,74,46.96,24,0.00,4.69
35.88 °N,78.79 °W,Morrisville,NC,December,2012,75,48.96,25,0.00,5.97
35.88 °N,78.79 °W,Morrisville,NC,January,2013,74,44.02,19,0.00,5.06
35.88 °N,78.79 °W,Morrisville,NC,February,2013,63,42.2,20,0.00,5.76
35.88 °N,78.79 °W,Morrisville,NC,March,2013,77,45.18,23,0.00,6.06
35.88 °N,78.79 °W,Morrisville,NC,April,2013,85,60.34,36,0.00,6.94
35.88 °N,78.79 °W,Morrisville,NC,May,2013,86,66.13,40,0.00,6.62
35.88 °N,78.79 °W,Morrisville,NC,June,2013,93,74.51,55,0.00,7.16
35.88 °N,78.79 °W,Morrisville,NC,July,2013,93,77.84,62,0.00,5.71
35.88 °N,78.79 °W,Morrisville,NC,August,2013,93,74.94,55,0.00,4.66
